feature,coefficient,abs_coefficient
num__review_recency_days,3.847824255927743,3.847824255927743
cat__host_identity_verified_True,-2.934914090177862,2.934914090177862
cat__host_identity_verified_bool_True,-2.9349140901778616,2.9349140901778616
num__number_of_reviews,-2.889544378602181,2.889544378602181
num__observed_reviews,-2.889544378602181,2.889544378602181
cat__host_is_superhost_bool_True,-1.8858757689071584,1.8858757689071584
cat__host_is_superhost_True,-1.8858757689071584,1.8858757689071584
cat__market_label_Asheville,-1.2595528387392323,1.2595528387392323
num__availability_365,1.1840240385927183,1.1840240385927183
num__review_scores_rating,-1.0416132098118838,1.0416132098118838
cat__property_type_Private room in bed and breakfast,-1.0104097978879645,1.0104097978879645
cat__market_label_Tokyo,-1.0020271466508996,1.0020271466508996
cat__country_Japan,-1.0020271466508996,1.0020271466508996
cat__market_label_New Orleans,0.9408463399119755,0.9408463399119755
cat__room_type_Hotel room,-0.9338251671801087,0.9338251671801087
cat__property_type_Room in boutique hotel,0.9290395838551763,0.9290395838551763
cat__host_is_superhost_bool_False,-0.921531831010363,0.921531831010363
cat__neighbourhood_cleansed_Ota Ku,-0.9063238185059714,0.9063238185059714
cat__property_type_Entire cottage,-0.8548759887345619,0.8548759887345619
cat__room_type_Entire home/apt,-0.8204932143551759,0.8204932143551759
num__description_length,-0.8200969786820203,0.8200969786820203
cat__country_Mexico,-0.791344812802289,0.791344812802289
cat__market_label_Mexico City,-0.791344812802289,0.791344812802289
cat__property_type_Private room in hostel,-0.7795442217992904,0.7795442217992904
cat__room_type_Shared room,-0.7151966329949708,0.7151966329949708
cat__property_type_Entire serviced apartment,0.6968658087779863,0.6968658087779863
cat__country_Brazil,-0.6757383609607718,0.6757383609607718
cat__market_label_Rio de Janeiro,-0.6757383609607718,0.6757383609607718
cat__property_type_Room in aparthotel,0.6480955406762804,0.6480955406762804
cat__host_is_superhost_False,-0.6430091770099262,0.6430091770099262
cat__property_type_Private room in home,-0.5974735157521114,0.5974735157521114
cat__neighbourhood_cleansed_Roses,0.5839982035930462,0.5839982035930462
cat__property_type_Entire guesthouse,-0.5336200625596035,0.5336200625596035
cat__property_type_Private room in condo,-0.511790984390221,0.511790984390221
cat__neighbourhood_cleansed_Sumida Ku,-0.4792722451505505,0.4792722451505505
cat__property_type_Private room in casa particular,0.4780968625412894,0.4780968625412894
cat__neighbourhood_cleansed_Recreio dos Bandeirantes,-0.4701556245001913,0.4701556245001913
cat__property_type_Private room in serviced apartment,0.46188648089749373,0.46188648089749373
cat__neighbourhood_cleansed_Santa Teresa,-0.4408818491860887,0.4408818491860887
cat__neighbourhood_cleansed_Centro,-0.41666044401639746,0.41666044401639746
cat__neighbourhood_cleansed_el Raval,0.40691582394302817,0.40691582394302817
cat__neighbourhood_cleansed_Shibuya Ku,0.4012660784302097,0.4012660784302097
num__host_response_rate,-0.3703357899766453,0.3703357899766453
cat__neighbourhood_cleansed_Lloret de Mar,-0.3686796264384084,0.3686796264384084
cat__property_type_Private room in rental unit,-0.3657352139893169,0.3657352139893169
