year_month,reviews,listings_con_review
2010-06,1,1
2010-07,1,1
2010-08,3,2
2010-09,4,1
2010-10,7,4
2010-11,6,3
2010-12,8,4
2011-01,7,3
2011-02,3,2
2011-03,14,9
2011-04,11,8
2011-05,12,6
2011-06,20,13
2011-07,33,22
2011-08,30,17
2011-09,46,26
2011-10,43,27
2011-11,84,41
2011-12,72,37
2012-01,104,60
2012-02,114,76
2012-03,135,71
2012-04,161,96
2012-05,154,82
2012-06,208,120
2012-07,224,131
2012-08,221,124
2012-09,231,135
2012-10,248,134
2012-11,299,151
2012-12,254,138
2013-01,397,211
2013-02,395,230
2013-03,518,251
2013-04,525,263
2013-05,629,296
2013-06,691,338
2013-07,884,397
2013-08,918,416
2013-09,1009,475
2013-10,1036,424
2013-11,830,412
2013-12,730,372
2014-01,923,530
2014-02,837,440
2014-03,1348,653
2014-04,1519,713
2014-05,1557,703
2014-06,2403,1145
2014-07,2695,1266
2014-08,2453,1030
2014-09,2470,985
2014-10,2587,1016
2014-11,2097,927
2014-12,1706,832
2015-01,2257,1185
2015-02,2126,1102
2015-03,2975,1206
2015-04,3584,1427
2015-05,4188,1534
2015-06,4207,1619
2015-07,4642,1865
2015-08,5107,2000
2015-09,5073,1993
2015-10,5195,1908
2015-11,4144,1729
2015-12,3667,1632
2016-01,4714,2302
2016-02,5197,2367
2016-03,5579,2252
2016-04,6792,2479
2016-05,7652,2721
2016-06,7276,2788
2016-07,8768,3190
2016-08,11221,4522
2016-09,8706,3268
2016-10,9793,3280
2016-11,8305,3053
2016-12,7135,2873
2017-01,8956,3733
2017-02,8290,3399
2017-03,11185,4095
2017-04,13182,4405
2017-05,12931,4305
2017-06,12460,4456
2017-07,14908,5087
2017-08,14804,5304
2017-09,15233,5750
2017-10,14034,4757
2017-11,11454,4346
2017-12,10784,4204
2018-01,13739,5653
2018-02,13733,5534
2018-03,15942,5509
2018-04,17903,6060
2018-05,18375,6196
2018-06,17774,6448
2018-07,20966,7014
2018-08,21462,7559
2018-09,21177,7192
2018-10,23223,7261
2018-11,21607,7385
2018-12,19164,6951
2019-01,22575,8605
2019-02,21248,7766
2019-03,27672,9474
2019-04,28644,9475
2019-05,28113,9124
2019-06,30398,10349
2019-07,32232,11044
2019-08,32220,11153
2019-09,32750,11133
2019-10,36423,12278
2019-11,33322,11262
2019-12,29202,10524
2020-01,32693,12453
2020-02,31421,11977
2020-03,21406,9701
2020-04,3161,2062
2020-05,2950,1740
2020-06,7192,3402
2020-07,14109,5903
2020-08,17798,7204
2020-09,15501,6613
2020-10,16210,6555
2020-11,16502,6545
2020-12,16619,6802
2021-01,17011,7610
2021-02,14154,6389
2021-03,17169,7061
2021-04,17766,7636
2021-05,22786,8784
2021-06,24510,9773
2021-07,31713,12073
2021-08,35707,13292
2021-09,31481,12300
2021-10,35277,12663
2021-11,39071,13793
2021-12,36089,13302
2022-01,38271,15160
2022-02,34097,13250
2022-03,44229,15515
2022-04,48364,17318
2022-05,49652,16869
2022-06,47428,17688
2022-07,53842,19300
2022-08,54276,19880
2022-09,59356,22350
2022-10,59477,20279
2022-11,62203,21841
2022-12,51309,19539
2023-01,62458,23173
2023-02,61263,23536
2023-03,68223,23359
2023-04,73211,25370
2023-05,75319,25689
2023-06,68352,25613
2023-07,77809,27906
2023-08,82616,29984
2023-09,77361,28881
2023-10,90177,30568
2023-11,94263,33065
2023-12,73616,27743
2024-01,81073,31923
2024-02,84978,33263
2024-03,91165,31784
2024-04,92397,32301
2024-05,97672,35731
2024-06,95540,35928
2024-07,103170,37599
2024-08,106913,39424
2024-09,120014,43667
2024-10,110854,39448
2024-11,115992,42079
2024-12,105115,39344
2025-01,120978,46466
2025-02,114770,43259
2025-03,138949,51003
2025-04,141523,51391
2025-05,135968,51750
2025-06,133038,51221
2025-07,133493,50772
2025-08,144868,53979
2025-09,108909,47254
2025-10,28224,9553
2025-11,23048,8216
2025-12,6355,3785
2026-01,378,155
2026-02,104,72
